Matrix_Length, naive_dotprodoct, unloop, OpenMP, avx2, avx2+OpenMP
128, 6, 5, 39, 1, 64
256, 50, 48, 235, 13, 138
384, 158, 158, 379, 41, 351
512, 374, 371, 675, 97, 606
640, 745, 758, 1192, 190, 1005
768, 1254, 1240, 1592, 313, 1406
896, 1998, 1967, 2258, 487, 1946
1024, 2970, 2964, 3025, 726, 2628
1152, 4235, 4216, 4237, 1055, 3660
1280, 5804, 5796, 5244, 1447, 4347
1408, 7730, 7721, 6577, 1922, 5433
1536, 10098, 9983, 8154, 2522, 6302
1664, 12740, 12895, 9876, 3137, 7732
1792, 15965, 15894, 11720, 3911, 8941
1920, 19616, 19572, 14021, 4777, 12216
2048, 23770, 23721, 16344, 5844, 12645
