Matrix_size, Time_Comsuming(ms)
100, 3.273000
200, 24.080000
300, 75.740000
400, 166.300000
500, 320.290000
600, 562.875000
700, 956.938000
800, 1354.871000
900, 1946.913000
1000, 2792.953000
1100, 4171.273000
1200, 5304.030000
1300, 6892.039000
1400, 8542.916000
1500, 10715.230000
1600, 12387.921000
1700, 17127.685000
1800, 19051.993000
1900, 24103.950000
2000, 30909.796000
